name,id
Mélissa Désormeaux-Poulin,91
Nisa Sofiya Aksongur,92
Fikret Kuskan,93
Kate Winslet,95
Mathieu Kassovitz,96
Annette Bening,99
Amir Farrokh Hashemian,101
Tim Allen,102
Sophie Marceau,103
R. Lee Ermey,105
Olga Mironova,106
Michael Biehn,107
Tom Hulce,108
Michelle Pfeiffer,109
Herbert Grönemeyer,111
Robert Redford,113
Patrick Magee,114
Gary Lockwood,115
Lee Van Cleef,116
Shirley MacLaine,118
Eva Marie Saint,119
Kim Novak,120
Nobuo Kaneko,122
Enzo Staiola,123
Barbara Stanwyck,124
Joseph Cotten,125
Ellen Widmann,126
Alfred Abel,127
Edna Purviance,128
Shraddha Kapoor,129
Srinidhi Shetty,131
Mahershala Ali,132
Woody Harrelson,133
Konkona Sen Sharma,134
Rana Daggubati,135
Shriya Saran,137
Rajkummar Rao,138
Elmo Nüganen,139
Sonam Kapoor,140
Richa Chadha,141
Ronit Roy,142
Mahie Gill,143
Soledad Villamil,144
Nick Nolte,145
Emily Mortimer,146
Edward Asner,147
Jonah Hill,148
Vidya Malvade,149
Paul Dano,150
Ariadna Gil,151
Soha Ali Khan,154
Rani Mukerji,155
Gayatri Joshi,157
Alexandra Maria Lara,158
Takuya Kimura,159
Ed Harris,160
Sunil Shetty,161
Dexter Fletcher,162
Ugur Yücel,164
Sharon Stone,166
Bora Todorovic,170
Noriko Hidaka,171
Alan Rickman,172
Akira Terao,173
Cathy Moriarty,174
Aleksandr Kaydanovskiy,175
Liv Ullmann,176
Irene Papas,177
Dharmendra,178
James Garner,180
John Megna,181
Eijirô Tôno,182
Tony Curtis,184
Gunnar Björnstrand,186
Carl Möhner,187
Chieko Higashiyama,189
Machiko Kyô,190
Anne Baxter,191
Walter Huston,192
Jack Benny,193
Mack Swain,194
Kathryn McGuire,195
Adèle Haenel,196
Saori Hayami,198
Ana Wagener,199
Jung-woo Ha,200
Antoine Olivier Pilon,201
María Marull,205
Melisa Sözen,207
Anushka Sharma,208
Rosamund Pike,211
Takao Osawa,212
Priyanka Chopra,215
Michael Kenneth Williams,216
Brendan Gleeson,220
Parambrata Chattopadhyay,221
Naseeruddin Shah,225
Bee Vang,226
Emma Watson,227
Ryôko Hirosue,228
Joan Allen,229
Vince Vaughn,232
Tommy Lee Jones,233
Arshad Warsi,234
Sophie Okonedo,236
Julie Delpy,238
Kim Sang-kyung,240
Saif Ali Khan,241
David Carradine,242
Albert Brooks,243
Megumi Ogata,247
Raghuvir Yadav,248
Haley Joel Osment,249
Pruitt Taylor Vince,250
Srdjan 'Zika' Todorovic,252
Maggie Cheung,254
Ewen Bremner,255
William H. Macy,256
Lazar Ristovski,257
Hubert Koundé,258
Kajol,259
Takeshi Kaneshiro,262
Laura Dern,263
Pete Postlethwaite,264
Fengyi Zhang,265
Jingwu Ma,266
Robert Sean Leonard,267
River Phoenix,268
Tom Berenger,269
Nastassja Kinski,270
Mahito Tsujimura,271
Wilford Brimley,272
Christine Hargreaves,273
Claudia Cardinale,274
Pernilla Allwin,275
Rutger Hauer,276
John Hurt,277
John Cleese,278
Christopher Walken,279
Talia Shire,280
Marisa Berenson,282
Filipp Yankovskiy,283
Tatum O'Neal,285
Donatas Banionis,287
François Périer,288
George Kennedy,289
Ivan Lapikov,291
Jean Martin,292
Jacqueline Andere,293
Joan Crawford,294
Nikolay Burlyaev,297
Birgitta Valberg,298
Fredric March,299
Albert Rémy,300
Jack Hawkins,301
Misa Uehara,302
Minoru Chiaki,304
Karl Malden,306
Charles Vanel,307
Jan Sterling,308
Virginia Mayo,309
Anton Walbrook,311
Joan Fontaine,313
Jean Arthur,314
Sam Wood,315
Dita Parlo,316
Claudette Colbert,317
Eugene Silvain,318
Merna Kennedy,319
Janet Gaynor,320
Conrad Veidt,322
Neena Gupta,323
Julianne Nicholson,324
Nimrat Kaur,325
Harshaali Malhotra,326
Danny Denzongpa,327
Jessica Chastain,330
Jared Bush,331
Nakul Roshan Sahdev,335
Frantz Turner,337
Yayan Ruhian,338
Vin Diesel,340
Lucy Boynton,343
Irandhir Santos,346
Viola Davis,348
Morena Baccarin,349
Simon Yam,352
Mete Horozoglu,354
Mila Kunis,356
André Ramiro,357
Chiara Mastroianni,359
Jennifer Garner,360
Thandie Newton,361
Djimon Hounsou,362
Edgar Ramírez,363
Hee Jae,364
Robert Rodriguez,365
Mathieu Amalric,366
Özge Özberk,367
Brad Garrett,368
Eva Green,369
Ivan Dobronravov,371
Yeong-su Oh,372
Belén Rueda,373
Renée Zellweger,374
Andy Lau,376
Albert Finney,378
Jun Ji-Hyun,380
Paul Bettany,381
Yilmaz Erdogan,382
Jena Malone,383
Jason Robards,384
Sissy Spacek,386
Rica Matsumoto,387
Henning Moritzen,388
Vinícius de Oliveira,389
Harry Connick Jr.,390
Jan Josef Liefers,391
Dwight Yoakam,392
Brenda Blethyn,393
Madeleine Stowe,394
Iemasa Kayumi,395
Chris Sarandon,396
Jesse Borrego,398
Chris O'Donnell,399
Scott Weinger,400
Paige O'Hara,402
Mary McDonnell,403
Ossie Davis,404
Nozomu Sasaki,406
Mandy Patinkin,407
Solveig Dommartin,408
Raphael Fejtö,409
Keiko Yokozawa,410
John Gielgud,412
Tsutomu Yamazaki,413
Diane Keaton,415
Robert Shaw,416
John Cazale,417
Madeline Kahn,418
Norma Crane,423
Stefania Sandrelli,424
John Cassavetes,426
Roddy McDowall,427
Anne Bancroft,428
Christopher Plummer,430
Julie Christie,431
Gian Maria Volontè,432
Anouk Aimée,433
Sady Rebbot,434
Jackie Gleason,435
Anita Ekberg,436
Dean Martin,437
Lee Remick,438
Coleen Gray,442
Shelley Winters,443
Véra Clouzot,445
Don Taylor,446
Gloria Grahame,449
John Dall,451
Jane Greer,452
Trevor Howard,453
Dana Andrews,454
Priscilla Lane,456
Mary Astor,457
Jane Darwell,458
Mervyn LeRoy,459
Nora Gregor,460
Louis Wolheim,462
Vladimir Barskiy,463
Sanjana Sanghi,465
Sakura Andô,466
Timothée Chalamet,468
Dave Johns,469
Koyu Rankin,470
Julian Dennison,471
Aidan Gillen,473
Tom Hiddleston,474
Rene Russo,475
Thomasin McKenzie,476
Jeremy Renner,477
John Boyega,478
Niels Arestrup,486
Lina Leandersson,488
David James,489
Marisa Tomei,490
Kareena Kapoor,491
Patricia Arquette,492
Laura Vasiliu,493
Zachary Quinto,494
Tony Todd,496
Kazunari Ninomiya,497
Catinca Untaru,498
Meryl Streep,500
Marc-André Grondin,501
François Berléand,502
Gwyneth Paltrow,503
Nick Frost,504
Sibel Kekilli,505
Javier Cámara,509
Rene Bitorajac,510
Hiroyuki Okiura,511
Gastón Pauls,513
Clive Owen,514
Patrick Fugit,515
Laura Harring,516
Issey Takahashi,519
Temuera Morrison,520
Emi Shinohara,523
Brenda Fricker,526
Dianne Wiest,529
Kim Greist,530
Michael McKean,531
Melinda Dillon,532
Dan Aykroyd,533
Jessica Lange,535
Ken Foree,536
Horacio Salinas,538
Bruno Zanin,539
Delphine Seyrig,540
Ruy Guerra,541
Bud Cort,542
Ernest Borgnine,544
Judith O'Dea,545
Laurence Harvey,549
Monica Vitti,551
Eiji Okada,552
Jeffrey Hunter,554
Raymond Massey,555
Robert Walker,557
Maureen O'Hara,559
Lauren Bacall,561
Jane Wyman,562
Rosalind Russell,564
Errol Flynn,565
Fay Wray,567
Leila Hyams,568
Alexander Granach,569
Charlie Hunnam,570
Olivia Cooke,572
Taraneh Alidoosti,573
Barry Keoghan,574
Anna Foglietta,575
Octavia Spencer,576
Hugh Grant,577
Art Parkinson,579
Kiara Advani,580
Michelle Williams,581
Louis Hofmann,582
Diego Luna,583
Douglas Booth,587
Imelda Staunton,588
Carlo Verdone,590
Yami Gautam,592
Ryan Potter,593
Rachel McAdams,594
Adil Hussain,595
Hidetoshi Nishijima,596
Jim Sturgess,598
Kara Hayward,599
Steve Carell,601
Yoshino Kimura,602
Rooney Mara,604
Barkhad Abdi,605
Sae-ron Kim,606
Corey Hawkins,607
Ernst Jacobi,611
Noomi Rapace,612
Alex Sharp,613
Maggie Grace,616
Markéta Irglová,618
Nurgül Yesilçay,620
Carey Mulligan,622
Zoe Saldana,624
Sarah Polley,625
Raoul Max Trujillo,626
Matthew Macfadyen,632
Diane Ladd,633
Tôru Emori,634
Gina Torres,635
Reese Witherspoon,636
Henrik Lundström,637
Rodrigo De la Serna,639
Artyom Bogucharskiy,640
Jean-Claude Donda,641
Trevor Jack Brooks,644
Will Patton,645
Michelle Yeoh,646
Marisa Paredes,647
Helen Hunt,648
Sean Patrick Flanery,649
Chris Cooper,651
Mike Myers,652
Kayoko Kishimoto,654
Deborah Kara Unger,656
Stellan Skarsgård,657
Mike Vitar,661
Lesley Sharp,663
Chazz Palminteri,665
Frank Paur,666
Wladyslaw Kowalski,669
Laurence Fishburne,670
Minami Takayama,673
Danny Lee,675
Carl Weathers,678
Sarah Berry,679
Alan Ruck,680
John Lurie,681
Whoopi Goldberg,683
Judd Nelson,684
Haing S. Ngor,685
Scott Glenn,687
Jerry Lewis,688
Drew Barrymore,689
Brooke Adams,691
Sondra Locke,692
Jennifer Drake,695
Terence Alexander,696
Michael York,698
Jack Albertson,699
Alan Arkin,701
Rex Harrison,704
Dick Van Dyke,705
Gerd Oswald,706
Oskar Werner,707
Peter Wyngarde,708
Jean Seberg,709
Edward G. Robinson,711
Claire Trevor,714
Michael Redgrave,715
Elsa Lanchester,717
Harpo Marx,718
Paul Muni,719
Mae Clarke,720
Marina de Tavira,721
Alec Secareanu,722
Allison Williams,725
Henry Cavill,726
Bahar Pars,727
Jemaine Clement,728
Sara Takatsuki,729
Taron Egerton,731
RJ Cyler,733
Adèle Exarchopoulos,735
Johan Heldenbergh,737
Nargis Fakhri,739
Will Forte,740
Jack McBrayer,741
Mackenzie Foy,742
Christina Hendricks,743
Emmanuel Affadzi,748
Michael Fassbender,750
Jennifer Lawrence,753
Michael Sheen,758
Colm Feore,760
Callan McAuliffe,761
Takuya Ishida,762
Ken'ichi Matsuyama,763
Stephen Graham,764
Sidse Babett Knudsen,766
Forest Whitaker,767
Benno Fürmann,770
Samantha Morton,771
Mandy Moore,772
Sebastian Koch,773
Wah Yuen,777
Jennifer Jason Leigh,779
Regina King,780
Teri Hatcher,784
Dorothy Duffy,786
Katrin Saß,787
Tyler Hoechlin,792
Christian Berkel,793
Julie Walters,794
Miriam Shor,795
John Rafter Lee,797
Matt Stone,800
Jennifer Aniston,801
Jon Lovitz,802
Penélope Cruz,805
Cameron Diaz,806
Milla Jovovich,808
Jacques Villeret,809
Armin Mueller-Stahl,811
Laura Linney,812
Eleanor Bron,814
Michelle Reis,815
Jeff Anderson,817
Kermit the Frog,820
Angela Bassett,821
Tokiko Katô,823
Jessica Tandy,826
John Turturro,827
Gene Bervoets,830
Paul McGann,831
Joan Chen,832
John Malkovich,833
Kyle MacLachlan,835
Jeff Daniels,836
Rosanna Arquette,837
Charlotte Rampling,839
Leonard Nimoy,840
Brian Dennehy,841
Mary Tyler Moore,842
Jerry Zucker,843
Eiko Masuyama,844
Jamie Lee Curtis,845
Isabelle Adjani,846
John Randolph,850
John Saxon,851
Burt Reynolds,852
Andrew Robinson,854
Jean Sorel,858
Wendy Hiller,859
Ian Hendry,860
Gert Fröbe,862
Tippi Hedren,863
Anna Massey,865
Alida Valli,867
Dana Wynter,868
Natalie Wood,869
Patricia Neal,873
Glenn Ford,875
Ford Beebe Jr.,876
Gloria Stuart,877
Debra Messing,879
Aleksey Rozin,881
Bria Vinaite,882
Mckenna Grace,884
Zack Gottsagen,885
Frederick Lau,886
Doga Zeynep Doguslu,887
Jon Bernthal,889
Mark Rylance,891
Holly Hunter,892
Don Hall,893
Elena Lyadova,896
Ben Foster,897
Steve Coogan,898
Keri Russell,899
Hugo Silva,900
Ananda George,901
Michael Peña,902
Mirai Shida,903
Trine Dyrholm,906
Seth Rogen,908
Alberto Ammann,910
Elena Anaya,912
Haaz Sleiman,917
Rosario Dawson,918
Claire Danes,920
Evan McGuire,921
Sylvie Testud,924
Li Sun,925
Jessica Biel,926
Gary Stretch,927
Lena Headey,929
Jonathan Rhys Meyers,930
Patrick Wilson,931
Leigh Whannell,933
Gaspard Ulliel,937
Patricia Clarkson,938
Benicio Del Toro,939
Shin Ha-kyun,940
